20191102-046			04051			0	3	14	6	5	2	4	13	8	20			15	25	4	2	4	7	1	6	5	26			0	20	6	14	2	16	29	4	1	5			9	3	17	16	28	5	1	12	2	6			19	1	14	4	3	8	1	27	9	2			0	1	4	2	4	5	1	4	1	2	
20191102-047			19019			1	1	15	7	6	3	5	14	9	21			16	26	5	3	1	8	2	7	6	9			0	21	7	15	3	17	30	5	2	6			10	1	18	17	29	1	2	13	3	7			20	1	15	5	4	9	2	28	10	9			0	1	5	3	1	1	2	5	2	9	
20191102-048			29681			2	1	2	8	7	4	6	15	10	22			17	27	6	4	2	9	3	8	7	9			1	22	8	16	4	18	6	6	3	7			11	1	19	18	30	2	3	14	8	8			21	1	16	6	5	10	3	29	11	1			1	1	2	4	2	2	6	6	8	9	
20191102-049			94215			3	2	1	9	8	5	7	16	11	9			18	28	7	5	4	10	4	9	8	1			2	23	2	17	5	19	1	7	4	8			12	1	20	19	31	3	4	15	1	9			22	1	17	7	6	5	4	30	12	2			2	1	2	5	4	5	1	7	1	9	
20191102-050			58989			4	3	2	10	9	5	8	17	12	1			19	29	8	6	1	11	5	10	8	2			3	24	1	18	6	20	2	8	5	9			13	1	21	20	32	4	5	16	8	10			23	2	18	8	7	1	5	31	13	9			3	1	1	6	1	5	2	8	8	9	
20191102-051			93936			5	4	3	11	10	1	9	18	13	9			20	30	9	3	2	12	6	11	1	3			4	25	2	19	7	21	3	9	6	9			14	2	22	3	33	5	6	17	1	11			24	3	19	9	8	2	6	32	14	1			4	2	2	3	2	1	6	9	1	9	
20191102-052			37681			6	5	4	3	11	2	10	19	14	1			21	31	10	1	3	13	7	7	2	4			5	26	3	20	8	22	6	10	7	1			15	3	23	1	34	6	7	18	8	12			25	1	20	10	9	3	1	33	15	2			5	1	3	3	3	2	6	7	8	1	
20191102-053			79332			7	6	5	1	12	3	11	7	15	2			22	32	11	2	4	14	8	1	3	9			6	27	4	3	9	23	1	11	8	2			16	4	24	3	35	7	8	19	1	13			26	1	2	11	10	4	2	34	16	3			6	1	2	3	4	3	1	7	1	9	
20191102-054			24196			8	7	2	2	13	4	12	1	16	3			23	33	12	3	4	15	9	2	4	1			7	1	5	1	10	24	2	12	9	3			17	5	25	1	36	8	9	20	2	9			27	2	1	12	11	5	6	35	17	4			7	1	2	1	4	4	6	1	2	9	
20191102-055			27331			9	8	2	3	14	5	13	2	17	4			24	34	13	4	1	16	10	7	5	2			8	1	6	3	11	25	3	13	10	4			18	6	26	3	37	9	10	21	3	1			28	1	2	13	12	6	1	36	18	5			8	1	2	3	1	5	1	7	3	1	
20191102-056			38793			10	9	1	3	15	6	14	3	18	5			25	35	14	5	2	17	11	1	8	3			9	2	7	1	12	26	4	7	11	5			19	7	27	1	38	10	11	22	4	9			29	1	3	3	13	7	2	37	19	6			9	1	1	3	2	6	2	7	8	9	
