226	20191125057	1,3,7,2,2
227	20191125058	3,5,0,6,9
228	20191125059	8,1,7,2,6
229	20191126001	8,0,4,8,6
230	20191126002	2,7,6,9,9
231	20191126003	0,6,7,9,8
232	20191126004	6,2,5,4,6
233	20191126005	5,1,0,3,2
234	20191126006	4,4,1,3,8
235	20191126007	1,5,2,9,9
236	20191126008	5,4,1,7,0
237	20191126011	9,1,3,8,5
238	20191126012	7,7,8,4,6
239	20191126013	2,1,4,5,1
240	20191126014	1,8,6,0,6
241	20191126015	2,8,2,4,0
242	20191126016	7,9,6,8,6
243	20191126017	8,8,4,9,0
244	20191126018	9,0,4,6,6
245	20191126019	3,5,1,2,4
246	20191126020	3,4,5,5,6
247	20191126021	5,9,2,5,1
248	20191126022	0,4,9,6,7
249	20191126023	1,4,4,9,9
250	20191126024	5,7,3,3,7
251	20191126025	3,3,4,5,7
252	20191126026	3,1,4,8,2
253	20191126027	0,8,6,6,0
254	20191126028	0,8,6,9,8
255	20191126029	0,0,6,3,1
256	20191126030	8,5,9,7,2
257	20191126031	7,4,8,9,3
258	20191126032	8,9,0,6,6
259	20191126033	4,7,6,8,2
260	20191126034	5,1,0,0,8
261	20191126035	5,0,9,0,2
262	20191126036	9,2,6,6,9
263	20191126037	0,2,8,8,0
264	20191126038	1,0,7,3,8
265	20191126039	4,8,7,9,0
266	20191126040	8,9,2,4,9
267	20191126041	9,3,9,5,6
268	20191126042	4,9,5,2,4
269	20191126043	9,3,8,5,3
270	20191126044	6,4,3,8,1
271	20191126045	8,9,6,3,6
272	20191126046	9,4,8,3,8
273	20191126047	8,7,6,9,8
274	20191126048	4,7,9,1,4
275	20191126049	9,0,5,9,2
276	20191126050	1,9,1,5,2
277	20191126051	3,3,5,3,2
278	20191126052	7,8,1,6,3
279	20191126053	4,3,6,4,0
280	20191126054	9,1,2,0,4
281	20191126055	9,8,6,4,2
282	20191126056	4,3,1,6,1
283	20191126057	6,3,6,7,0
284	20191126058	8,5,4,1,9
285	20191126059	9,3,7,5,6
286	20191127001	8,7,1,6,8
287	20191127002	2,5,8,3,0
288	20191127003	6,3,5,8,4
289	20191127004	5,9,6,8,0
290	20191127005	1,9,4,0,3
291	20191127006	4,6,0,5,1
292	20191127007	2,3,5,2,3
293	20191127008	3,4,1,2,7
294	20191127011	8,0,8,4,8
295	20191127012	0,7,3,0,7
296	20191127013	7,0,2,6,3
297	20191127014	4,7,6,4,3
298	20191127015	1,3,7,3,0
299	20191127016	6,2,3,9,9
300	20191127017	1,9,9,8,2
301	20191127018	2,9,7,6,4
302	20191127019	2,4,9,3,0
303	20191127020	2,4,6,2,5
304	20191127021	9,3,9,8,3
305	20191127022	9,8,7,7,5
306	20191127023	1,1,1,1,5
307	20191127024	6,6,5,5,7
308	20191127025	3,7,0,2,7
309	20191127026	9,3,2,5,1
310	20191127027	1,9,5,7,7
311	20191127028	7,7,9,8,5
312	20191127029	7,0,7,3,9
313	20191127030	3,0,4,4,2
314	20191127031	3,2,4,7,5
315	20191127032	4,7,3,5,6
316	20191127033	8,9,2,7,2
317	20191127034	8,3,1,6,3
318	20191127035	2,7,2,4,9
319	20191127036	6,7,9,6,0
320	20191127037	0,6,7,2,9
321	20191127038	7,9,4,2,1
322	20191127039	7,0,5,8,1
323	20191127040	0,5,0,0,1
324	20191127041	2,7,0,8,3
325	20191127042	3,5,2,1,9
326	20191127043	0,0,4,1,3
327	20191127044	5,3,1,2,2
328	20191127045	1,4,1,2,5
329	20191127046	2,7,0,3,3
330	20191127047	5,2,7,1,3
331	20191127048	2,3,9,2,2
332	20191127049	6,5,3,5,5
333	20191127050	9,7,2,7,3
334	20191127051	4,8,7,4,4
335	20191127052	7,9,0,9,7
336	20191127053	5,0,2,0,6
337	20191127054	9,0,1,4,4
338	20191127055	2,4,7,4,1
339	20191127056	9,8,2,9,2
340	20191127057	0,8,2,5,2
341	20191127058	2,3,1,8,8
342	20191127059	5,0,6,7,8
343	20191128001	4,3,2,8,8
344	20191128002	4,4,7,0,4
345	20191128003	0,5,8,6,8
346	20191128004	5,6,0,6,5
347	20191128005	8,3,0,0,1
348	20191128006	4,1,1,5,7
349	20191128007	1,9,5,3,5
350	20191128008	5,1,1,4,7
351	20191128011	6,3,2,0,3
352	20191128012	2,7,3,6,1
353	20191128013	5,5,9,0,8
354	20191128014	2,2,7,1,3
355	20191128015	7,2,5,1,8
356	20191128016	7,4,2,0,1
357	20191128017	7,9,8,3,6
358	20191128018	6,2,7,0,9
359	20191128019	6,2,0,5,8
360	20191128020	6,7,1,8,2
361	20191128021	6,9,4,0,5
362	20191128022	0,5,0,3,3
363	20191128023	7,0,6,9,5
364	20191128024	2,7,4,9,1
365	20191128025	0,9,6,1,8
366	20191128026	9,8,1,2,7
367	20191128027	1,2,8,4,2
368	20191128028	9,4,6,9,0
369	20191128029	2,2,8,2,2
370	20191128030	5,0,2,7,5
371	20191128031	5,7,4,7,4
372	20191128032	3,4,1,5,0
373	20191128033	0,7,9,2,7
374	20191128034	9,1,8,7,0
375	20191128035	0,0,0,0,0
376	20191128036	6,4,6,9,1
377	20191128037	2,3,8,1,3
378	20191128038	4,1,4,3,5
379	20191128039	5,5,2,6,4
380	20191128040	9,4,3,7,6
381	20191128041	9,4,6,1,2
382	20191128042	5,1,1,8,9
383	20191128043	2,6,1,4,7
384	20191128044	9,3,4,1,0
385	20191128045	0,5,7,5,8
386	20191128046	0,7,9,9,7
387	20191128047	3,0,2,4,1
388	20191128048	4,6,4,0,3
389	20191128049	9,0,4,2,4
390	20191128050	7,7,5,1,8
391	20191128051	7,4,3,5,2
392	20191128052	1,0,3,9,6
393	20191128053	4,5,9,3,7
394	20191128054	4,9,7,8,8
395	20191128055	5,1,5,8,6
396	20191128056	5,2,6,2,3
397	20191128057	8,8,2,2,8
398	20191128058	4,6,7,3,6
399	20191128059	1,5,0,9,5
400	20191129001	0,7,5,3,8
401	20191129002	8,5,4,8,8
402	20191129003	2,6,5,1,8
403	20191129004	6,7,4,4,2
404	20191129005	0,4,5,4,9
405	20191129006	5,2,8,4,7
406	20191129007	5,8,4,9,5
407	20191129008	8,5,1,1,9
408	20191129011	7,4,2,2,2
409	20191129012	2,7,0,7,4
410	20191129013	8,4,1,0,0
411	20191129014	4,7,8,2,7
412	20191129015	2,4,5,9,8
413	20191129016	5,0,3,7,0
414	20191129017	7,7,4,7,1
415	20191129018	6,3,4,5,5
416	20191129019	7,1,7,4,8
417	20191129020	9,2,4,2,1
418	20191129021	3,6,5,6,0
419	20191129022	1,4,1,5,4
420	20191129023	7,8,3,4,3
421	20191129024	8,5,2,9,3
422	20191129025	4,3,2,5,5
423	20191129026	1,5,3,8,3
424	20191129027	4,1,5,1,5
425	20191129028	1,6,1,0,6
426	20191129029	9,7,8,2,6
427	20191129030	8,6,0,6,5
428	20191129031	4,2,3,1,0
429	20191129032	7,1,8,9,1
430	20191129033	7,4,0,9,1
431	20191129034	0,1,8,8,8
432	20191129035	1,8,0,8,7
433	20191129036	7,7,3,2,9
434	20191129037	4,8,2,6,8
435	20191129038	8,7,4,2,3
436	20191129039	0,6,8,9,9
437	20191129040	3,6,6,5,4
438	20191129041	8,0,4,7,2
439	20191129042	1,9,9,6,8
440	20191129043	5,6,1,4,0
441	20191129044	0,2,5,9,4
442	20191129045	4,7,7,0,8
443	20191129046	7,7,0,8,6
444	20191129047	2,9,7,4,2
445	20191129048	1,4,7,8,2
446	20191129049	7,6,0,2,2
447	20191129050	9,0,8,0,2
448	20191129051	3,5,2,2,0
449	20191129052	1,6,6,9,0
450	20191129053	8,0,7,6,5
451	20191129054	7,7,1,3,7
452	20191129055	0,3,0,0,3
453	20191129056	6,4,6,9,4
454	20191129057	3,0,3,3,5
455	20191129058	7,1,8,5,3
456	20191129059	6,5,5,4,7
457	20191130001	3,8,7,2,7
458	20191130002	7,7,0,9,6
459	20191130003	1,0,9,2,3
460	20191130004	5,0,3,7,3
461	20191130005	3,6,9,1,0
462	20191130006	8,0,6,2,7
463	20191130007	7,6,8,4,8
464	20191130008	0,7,7,3,4
465	20191130011	2,0,3,7,6
466	20191130012	0,3,8,7,3
467	20191130013	5,1,1,1,8
468	20191130014	8,7,4,5,9
469	20191130015	7,1,9,6,7
470	20191130016	8,4,5,4,0
471	20191130017	6,4,6,4,1
472	20191130018	3,9,1,2,4
473	20191130019	6,3,2,0,7
474	20191130020	8,6,4,3,8
475	20191130021	4,3,7,0,9
476	20191130022	1,3,8,8,3
477	20191130023	3,9,7,7,5
478	20191130024	9,2,9,4,6
479	20191130025	2,4,2,1,1
480	20191130026	3,9,0,2,4
481	20191130027	5,1,0,9,6
482	20191130028	7,4,3,8,0
483	20191130029	8,6,4,4,6
484	20191130030	2,4,6,9,2
485	20191130031	6,6,4,4,8
486	20191130032	4,7,5,4,2
487	20191130033	1,5,8,1,5
488	20191130034	2,0,0,5,3
489	20191130035	5,7,2,4,3
490	20191130036	9,5,5,2,6
491	20191130037	8,7,7,3,9
492	20191130038	9,9,6,1,7
493	20191130039	5,2,3,7,5
494	20191130040	6,5,9,6,0
495	20191130041	6,3,5,0,5
496	20191130042	4,8,5,3,6
497	20191130043	4,7,6,4,0
498	20191130044	9,8,9,6,8
499	20191130045	8,8,0,6,3
500	20191130046	1,0,5,4,9
501	20191130047	6,9,0,9,9
502	20191130048	7,0,1,6,4
503	20191130049	4,6,5,1,8
504	20191130050	4,3,1,0,1
505	20191130051	0,4,3,0,7
506	20191130052	1,7,4,2,3
507	20191130053	9,8,9,2,4
508	20191130054	0,2,7,0,6
509	20191130055	2,0,2,3,7
510	20191130056	9,5,6,3,5
511	20191130057	2,5,7,3,1
512	20191130058	5,0,6,1,3
513	20191130059	7,6,7,2,4
514	20191201001	8,8,2,7,0
515	20191201002	5,6,6,2,9
516	20191201003	3,2,8,5,7
517	20191201004	3,7,9,8,1
518	20191201005	4,0,1,8,5
519	20191201006	7,1,0,0,7
520	20191201007	2,8,6,1,6
521	20191201008	5,5,1,0,4
522	20191201011	0,2,6,5,6
523	20191201012	7,9,6,1,4
524	20191201013	5,0,3,9,5
525	20191201014	7,0,2,2,9
526	20191201015	3,9,3,4,8
527	20191201016	2,3,7,1,9
528	20191201017	7,3,5,7,0
529	20191201018	9,5,6,5,9
530	20191201019	8,1,1,5,3
531	20191201020	6,0,3,7,5
532	20191201021	9,0,6,1,4
533	20191201022	8,4,8,4,9
534	20191201023	5,5,2,6,0
535	20191201024	7,4,3,1,9
536	20191201025	7,5,7,3,2
537	20191201026	6,1,1,7,5
538	20191201027	3,4,1,2,2
539	20191201028	2,2,8,3,7
540	20191201029	6,2,6,7,5
541	20191201030	4,7,2,7,7
542	20191201031	6,8,8,3,8
543	20191201032	3,7,8,7,5
544	20191201033	3,7,1,6,2
545	20191201034	1,3,2,6,3
546	20191201035	3,2,7,9,7
547	20191201036	8,9,9,6,4
548	20191201037	0,7,0,7,3
549	20191201038	1,8,2,9,0
550	20191201039	5,1,6,8,6
551	20191201040	2,1,3,1,3
552	20191201041	0,7,2,7,2
553	20191201042	0,2,2,2,4
554	20191201043	7,0,9,2,0
555	20191201044	0,2,8,2,2
556	20191201045	9,0,1,8,0
557	20191201046	7,7,1,3,5
558	20191201047	6,4,8,5,1
559	20191201048	5,7,9,6,7
560	20191201049	3,8,6,1,1
561	20191201050	8,4,4,1,3
562	20191201051	4,7,8,9,2
563	20191201052	5,7,0,8,6
564	20191201053	2,9,3,3,9
565	20191201054	7,3,8,7,8
566	20191201055	9,4,8,8,0
567	20191201056	4,8,8,8,1
